,original_text_prediction,mcad_prediction,chatgpt_prediction,flan_prediction
0,hate,hate,hate,hate
1,hate,hate,hate,not_hate
2,hate,hate,hate,hate
3,hate,hate,hate,hate
4,hate,hate,hate,hate
5,hate,hate,hate,not_hate
6,not_hate,not_hate,not_hate,not_hate
7,not_hate,not_hate,not_hate,not_hate
8,not_hate,not_hate,not_hate,not_hate
9,hate,hate,hate,hate
10,hate,hate,hate,hate
11,not_hate,not_hate,not_hate,not_hate
12,hate,hate,hate,hate
13,hate,hate,hate,not_hate
14,hate,hate,hate,not_hate
15,hate,hate,hate,hate
16,not_hate,not_hate,not_hate,not_hate
17,not_hate,not_hate,not_hate,not_hate
18,not_hate,not_hate,not_hate,not_hate
19,hate,hate,hate,hate
20,hate,hate,hate,hate
21,hate,hate,hate,not_hate
22,hate,hate,hate,not_hate
23,hate,hate,hate,hate
24,not_hate,not_hate,not_hate,not_hate
25,hate,hate,hate,hate
26,hate,hate,hate,hate
27,hate,hate,hate,hate
28,hate,hate,hate,hate
29,hate,hate,hate,hate
30,hate,hate,hate,hate
31,not_hate,not_hate,not_hate,not_hate
32,hate,hate,hate,hate
33,not_hate,not_hate,not_hate,not_hate
34,hate,hate,hate,hate
35,hate,hate,hate,hate
36,hate,hate,hate,not_hate
37,not_hate,not_hate,not_hate,not_hate
38,hate,hate,hate,hate
39,not_hate,not_hate,not_hate,not_hate
40,hate,hate,hate,hate
41,hate,hate,hate,hate
42,hate,hate,hate,hate
43,hate,hate,hate,hate
44,hate,hate,hate,hate
45,not_hate,not_hate,not_hate,not_hate
46,not_hate,not_hate,not_hate,not_hate
47,not_hate,not_hate,not_hate,not_hate
48,not_hate,not_hate,not_hate,not_hate
49,hate,hate,hate,hate
50,hate,hate,hate,hate
51,not_hate,not_hate,not_hate,not_hate
52,hate,hate,hate,hate
53,hate,hate,hate,hate
54,hate,hate,hate,hate
55,not_hate,not_hate,not_hate,not_hate
56,hate,hate,hate,hate
57,hate,hate,hate,hate
58,hate,hate,hate,hate
59,not_hate,not_hate,not_hate,not_hate
60,hate,hate,hate,hate
61,not_hate,not_hate,not_hate,not_hate
62,not_hate,not_hate,not_hate,hate
63,not_hate,not_hate,not_hate,hate
64,hate,hate,hate,hate
65,not_hate,not_hate,not_hate,not_hate
66,hate,hate,hate,hate
67,not_hate,not_hate,not_hate,not_hate
68,not_hate,not_hate,not_hate,not_hate
69,hate,hate,hate,hate
70,not_hate,not_hate,not_hate,not_hate
71,not_hate,not_hate,not_hate,not_hate
72,hate,hate,hate,hate
73,hate,hate,hate,hate
74,not_hate,not_hate,not_hate,hate
75,not_hate,not_hate,not_hate,not_hate
76,hate,hate,hate,hate
77,hate,hate,hate,hate
78,hate,hate,hate,hate
79,not_hate,not_hate,not_hate,not_hate
80,hate,hate,hate,hate
81,not_hate,not_hate,not_hate,not_hate
82,not_hate,not_hate,not_hate,not_hate
83,not_hate,not_hate,not_hate,not_hate
84,not_hate,not_hate,not_hate,not_hate
85,hate,hate,hate,hate
86,hate,hate,hate,hate
87,hate,hate,hate,hate
88,hate,hate,hate,hate
89,not_hate,not_hate,not_hate,not_hate
90,hate,hate,hate,hate
91,not_hate,not_hate,not_hate,not_hate
92,not_hate,not_hate,not_hate,not_hate
93,hate,hate,hate,hate
94,hate,hate,hate,hate
95,hate,hate,hate,not_hate
96,not_hate,not_hate,not_hate,not_hate
97,hate,hate,hate,hate
98,hate,hate,hate,not_hate
99,hate,hate,hate,hate
100,not_hate,not_hate,not_hate,not_hate
101,hate,hate,hate,hate
102,hate,hate,hate,hate
103,hate,hate,hate,hate
104,not_hate,not_hate,not_hate,not_hate
105,not_hate,not_hate,not_hate,not_hate
106,hate,hate,hate,hate
107,hate,hate,hate,not_hate
108,hate,hate,hate,not_hate
109,hate,hate,hate,hate
110,hate,hate,hate,hate
111,not_hate,not_hate,not_hate,not_hate
112,not_hate,not_hate,not_hate,not_hate
113,not_hate,not_hate,not_hate,not_hate
114,hate,hate,hate,hate
115,hate,hate,hate,hate
116,hate,hate,hate,hate
117,hate,hate,hate,hate
118,hate,hate,hate,hate
119,not_hate,not_hate,not_hate,not_hate
120,hate,hate,hate,hate
121,hate,hate,hate,not_hate
122,hate,hate,hate,hate
123,not_hate,not_hate,not_hate,not_hate
124,hate,hate,hate,hate
125,hate,hate,hate,hate
126,not_hate,not_hate,not_hate,not_hate
127,hate,hate,hate,not_hate
128,hate,hate,hate,not_hate
129,not_hate,not_hate,not_hate,not_hate
130,hate,hate,hate,not_hate
131,not_hate,not_hate,not_hate,not_hate
132,hate,hate,hate,hate
133,hate,hate,hate,hate
134,hate,hate,hate,hate
135,hate,hate,hate,not_hate
136,not_hate,not_hate,not_hate,not_hate
137,hate,hate,hate,hate
138,not_hate,not_hate,not_hate,not_hate
139,hate,hate,hate,hate
140,hate,hate,hate,hate
141,hate,hate,hate,hate
142,hate,hate,hate,hate
143,hate,hate,hate,not_hate
144,hate,hate,hate,not_hate
145,hate,hate,hate,hate
146,hate,hate,hate,hate
147,not_hate,not_hate,not_hate,not_hate
148,not_hate,not_hate,not_hate,not_hate
149,not_hate,not_hate,not_hate,not_hate
150,hate,hate,hate,hate
151,hate,hate,hate,hate
152,hate,hate,hate,hate
153,hate,hate,hate,hate
154,hate,hate,hate,hate
155,hate,hate,hate,not_hate
156,not_hate,not_hate,not_hate,not_hate
157,hate,hate,hate,hate
158,hate,hate,hate,hate
159,not_hate,not_hate,not_hate,not_hate
160,hate,hate,hate,hate
161,hate,hate,hate,not_hate
162,hate,hate,hate,not_hate
163,hate,hate,hate,hate
164,hate,hate,hate,hate
165,hate,hate,hate,not_hate
166,not_hate,not_hate,not_hate,not_hate
167,hate,hate,hate,hate
168,hate,hate,hate,hate
169,hate,hate,hate,hate
170,not_hate,not_hate,not_hate,not_hate
171,hate,hate,hate,hate
172,not_hate,not_hate,not_hate,not_hate
173,hate,hate,hate,hate
174,not_hate,not_hate,not_hate,not_hate
175,not_hate,not_hate,not_hate,hate
176,hate,hate,hate,not_hate
177,hate,hate,hate,hate
178,hate,hate,hate,hate
179,hate,hate,hate,not_hate
180,not_hate,not_hate,not_hate,not_hate
181,hate,hate,hate,hate
182,hate,hate,hate,hate
183,hate,hate,hate,hate
184,hate,hate,hate,hate
185,hate,hate,hate,hate
186,not_hate,not_hate,not_hate,not_hate
187,hate,hate,hate,hate
188,hate,hate,hate,hate
189,not_hate,not_hate,not_hate,not_hate
190,hate,hate,hate,not_hate
191,hate,hate,hate,hate
192,not_hate,not_hate,not_hate,not_hate
193,not_hate,not_hate,not_hate,not_hate
194,hate,hate,hate,hate
195,hate,hate,hate,hate
196,hate,hate,hate,hate
197,hate,hate,hate,not_hate
198,hate,hate,hate,hate
199,hate,hate,hate,hate
200,hate,hate,hate,hate
201,hate,hate,hate,hate
202,hate,hate,hate,not_hate
203,hate,hate,hate,hate
204,hate,hate,hate,hate
205,hate,hate,hate,hate
206,hate,hate,hate,hate
207,hate,hate,hate,hate
208,not_hate,not_hate,not_hate,not_hate
209,hate,hate,hate,hate
210,hate,hate,hate,hate
211,hate,hate,hate,hate
212,hate,hate,hate,hate
213,not_hate,not_hate,not_hate,not_hate
214,hate,hate,hate,hate
215,hate,hate,hate,hate
216,hate,hate,hate,hate
217,hate,hate,hate,hate
218,hate,hate,hate,hate
219,hate,hate,hate,hate
220,not_hate,not_hate,not_hate,not_hate
221,hate,hate,hate,hate
222,hate,hate,hate,hate
223,hate,hate,hate,hate
224,hate,hate,hate,not_hate
225,hate,hate,hate,hate
226,not_hate,not_hate,not_hate,not_hate
227,hate,hate,hate,hate
228,hate,hate,hate,not_hate
229,hate,hate,hate,hate
230,not_hate,not_hate,not_hate,not_hate
231,not_hate,not_hate,not_hate,not_hate
232,hate,hate,hate,not_hate
233,hate,hate,hate,hate
234,hate,hate,hate,hate
235,not_hate,not_hate,not_hate,not_hate
236,not_hate,not_hate,not_hate,not_hate
237,hate,hate,hate,hate
238,not_hate,not_hate,not_hate,hate
239,hate,hate,hate,not_hate
240,hate,hate,hate,hate
241,hate,hate,hate,hate
242,not_hate,not_hate,not_hate,not_hate
243,not_hate,not_hate,not_hate,not_hate
244,not_hate,not_hate,not_hate,not_hate
245,hate,hate,hate,hate
246,not_hate,not_hate,not_hate,not_hate
247,not_hate,not_hate,not_hate,not_hate
248,hate,hate,hate,not_hate
249,not_hate,not_hate,not_hate,not_hate
250,hate,hate,hate,hate
251,hate,hate,hate,not_hate
252,hate,hate,hate,hate
253,not_hate,not_hate,not_hate,not_hate
254,hate,hate,hate,hate
255,hate,hate,hate,not_hate
256,hate,hate,hate,hate
257,hate,hate,hate,not_hate
258,hate,hate,hate,not_hate
259,not_hate,not_hate,not_hate,not_hate
260,hate,hate,hate,hate
261,not_hate,not_hate,not_hate,not_hate
262,not_hate,not_hate,not_hate,not_hate
263,hate,hate,hate,hate
264,not_hate,not_hate,not_hate,not_hate
265,hate,hate,hate,hate
266,hate,hate,hate,hate
267,hate,hate,hate,hate
268,not_hate,not_hate,not_hate,not_hate
269,hate,hate,hate,hate
270,hate,hate,hate,not_hate
271,hate,hate,hate,hate
272,not_hate,not_hate,not_hate,not_hate
273,hate,hate,hate,hate
274,hate,hate,hate,not_hate
275,hate,hate,hate,hate
276,hate,hate,hate,not_hate
277,not_hate,not_hate,not_hate,not_hate
278,hate,hate,hate,hate
279,hate,hate,hate,hate
280,hate,hate,hate,not_hate
281,hate,hate,hate,hate
282,hate,hate,hate,hate
283,not_hate,not_hate,not_hate,not_hate
284,hate,hate,hate,hate
285,hate,hate,hate,hate
286,hate,hate,hate,hate
287,not_hate,not_hate,not_hate,not_hate
288,hate,hate,hate,hate
289,not_hate,not_hate,not_hate,not_hate
290,hate,hate,hate,hate
291,hate,hate,hate,hate
292,hate,hate,hate,hate
293,hate,hate,hate,hate
294,hate,hate,hate,not_hate
295,hate,hate,hate,hate
296,hate,hate,hate,hate
297,hate,hate,hate,hate
298,hate,hate,hate,not_hate
299,hate,hate,hate,hate
300,not_hate,not_hate,not_hate,not_hate
301,hate,hate,hate,hate
302,hate,hate,hate,hate
303,hate,hate,hate,hate
304,hate,hate,hate,not_hate
305,hate,hate,hate,not_hate
306,hate,hate,hate,hate
307,hate,hate,hate,hate
308,not_hate,not_hate,not_hate,not_hate
309,not_hate,not_hate,not_hate,not_hate
310,hate,hate,hate,hate
311,hate,hate,hate,hate
312,hate,hate,hate,hate
313,hate,hate,hate,not_hate
314,hate,hate,hate,hate
315,hate,hate,hate,hate
316,not_hate,not_hate,not_hate,not_hate
317,hate,hate,hate,hate
318,hate,hate,hate,hate
319,hate,hate,hate,hate
320,hate,hate,hate,hate
321,hate,hate,hate,not_hate
322,hate,hate,hate,hate
323,hate,hate,hate,hate
324,hate,hate,hate,hate
325,not_hate,not_hate,not_hate,not_hate
326,hate,hate,hate,hate
327,hate,hate,hate,hate
328,hate,hate,hate,hate
329,not_hate,not_hate,not_hate,not_hate
330,hate,hate,hate,hate
331,hate,hate,hate,hate
332,hate,hate,hate,hate
333,hate,hate,hate,hate
334,hate,hate,hate,hate
335,hate,hate,hate,hate
336,hate,hate,hate,not_hate
337,not_hate,not_hate,not_hate,not_hate
338,hate,hate,hate,hate
339,hate,hate,hate,not_hate
340,hate,hate,hate,hate
341,hate,hate,hate,hate
342,hate,hate,hate,hate
343,not_hate,not_hate,not_hate,not_hate
344,hate,hate,hate,hate
345,hate,hate,hate,not_hate
346,hate,hate,hate,not_hate
347,hate,hate,hate,hate
348,hate,hate,hate,hate
349,hate,hate,hate,hate
350,hate,hate,hate,hate
351,hate,hate,hate,hate
352,hate,hate,hate,not_hate
353,hate,hate,hate,hate
354,not_hate,not_hate,not_hate,not_hate
355,not_hate,not_hate,not_hate,not_hate
356,hate,hate,hate,hate
357,hate,hate,hate,hate
358,hate,hate,hate,not_hate
359,not_hate,not_hate,not_hate,not_hate
360,not_hate,not_hate,not_hate,not_hate
361,hate,hate,hate,hate
362,hate,hate,hate,hate
363,not_hate,not_hate,not_hate,not_hate
364,hate,hate,hate,hate
365,not_hate,not_hate,not_hate,not_hate
366,hate,hate,hate,not_hate
367,not_hate,not_hate,not_hate,not_hate
368,hate,hate,hate,hate
369,hate,hate,hate,hate
370,hate,hate,hate,hate
371,not_hate,not_hate,not_hate,not_hate
372,hate,hate,hate,hate
373,hate,hate,hate,hate
374,hate,hate,hate,hate
375,hate,hate,hate,hate
376,not_hate,not_hate,not_hate,not_hate
377,hate,hate,hate,hate
378,not_hate,not_hate,not_hate,not_hate
379,not_hate,not_hate,not_hate,not_hate
380,hate,hate,hate,hate
381,not_hate,not_hate,not_hate,hate
382,hate,hate,hate,hate
383,hate,hate,hate,hate
384,hate,hate,hate,hate
385,not_hate,not_hate,not_hate,not_hate
386,not_hate,not_hate,not_hate,not_hate
387,hate,hate,hate,not_hate
388,not_hate,not_hate,not_hate,not_hate
389,hate,hate,hate,not_hate
390,hate,hate,hate,hate
391,hate,hate,hate,hate
392,not_hate,not_hate,not_hate,not_hate
393,not_hate,not_hate,not_hate,hate
394,hate,hate,hate,hate
395,hate,hate,hate,hate
396,hate,hate,hate,hate
397,hate,hate,hate,hate
398,not_hate,not_hate,not_hate,not_hate
399,hate,hate,hate,not_hate
400,hate,hate,hate,hate
401,not_hate,not_hate,not_hate,hate
402,hate,hate,hate,hate
403,hate,hate,hate,hate
404,not_hate,not_hate,not_hate,hate
405,hate,hate,hate,hate
406,not_hate,not_hate,not_hate,not_hate
407,not_hate,not_hate,not_hate,not_hate
408,hate,hate,hate,hate
409,hate,hate,hate,not_hate
410,not_hate,not_hate,not_hate,not_hate
411,hate,hate,hate,hate
412,hate,hate,hate,hate
413,hate,hate,hate,hate
414,not_hate,not_hate,not_hate,not_hate
415,hate,hate,hate,hate
416,hate,hate,hate,hate
417,not_hate,not_hate,not_hate,not_hate
418,hate,hate,hate,hate
419,hate,hate,hate,hate
420,hate,hate,hate,hate
421,not_hate,not_hate,not_hate,not_hate
422,hate,hate,hate,hate
423,not_hate,not_hate,not_hate,not_hate
424,hate,hate,hate,not_hate
425,hate,hate,hate,hate
426,hate,hate,hate,hate
427,not_hate,not_hate,not_hate,not_hate
