,original_text_prediction,mcad_prediction,chatgpt_prediction,flan_prediction
0,not_hate,not_hate,not_hate,not_hate
1,hate,hate,hate,hate
2,not_hate,not_hate,not_hate,not_hate
3,not_hate,not_hate,not_hate,not_hate
4,hate,hate,hate,hate
5,not_hate,not_hate,not_hate,hate
6,hate,hate,hate,not_hate
7,not_hate,not_hate,not_hate,not_hate
8,hate,hate,hate,not_hate
9,hate,hate,hate,not_hate
10,hate,hate,hate,not_hate
11,hate,hate,hate,hate
12,hate,hate,hate,hate
13,not_hate,not_hate,not_hate,not_hate
14,not_hate,not_hate,not_hate,not_hate
15,hate,hate,hate,not_hate
16,hate,hate,hate,hate
17,not_hate,not_hate,not_hate,not_hate
18,not_hate,not_hate,not_hate,not_hate
19,not_hate,not_hate,not_hate,hate
20,not_hate,not_hate,not_hate,not_hate
21,not_hate,not_hate,not_hate,not_hate
22,not_hate,not_hate,not_hate,not_hate
23,not_hate,not_hate,not_hate,not_hate
24,hate,hate,hate,hate
25,hate,hate,hate,hate
26,hate,hate,hate,hate
27,not_hate,not_hate,not_hate,not_hate
28,not_hate,not_hate,not_hate,not_hate
29,not_hate,not_hate,not_hate,not_hate
30,not_hate,not_hate,not_hate,not_hate
31,not_hate,not_hate,not_hate,not_hate
32,hate,hate,hate,hate
33,hate,hate,hate,hate
34,not_hate,not_hate,not_hate,not_hate
35,hate,hate,hate,hate
36,hate,hate,hate,hate
37,not_hate,not_hate,not_hate,not_hate
38,hate,hate,hate,hate
39,not_hate,not_hate,not_hate,not_hate
40,not_hate,not_hate,not_hate,not_hate
41,not_hate,not_hate,not_hate,hate
42,not_hate,not_hate,not_hate,not_hate
43,hate,hate,hate,hate
44,not_hate,not_hate,not_hate,not_hate
45,hate,hate,hate,hate
46,hate,hate,hate,not_hate
47,hate,hate,hate,hate
48,not_hate,not_hate,not_hate,not_hate
49,hate,hate,hate,hate
50,not_hate,not_hate,not_hate,not_hate
51,not_hate,not_hate,not_hate,not_hate
52,not_hate,not_hate,not_hate,not_hate
53,hate,hate,hate,hate
54,not_hate,not_hate,not_hate,not_hate
55,not_hate,not_hate,not_hate,hate
56,not_hate,not_hate,not_hate,not_hate
57,hate,hate,hate,hate
58,not_hate,not_hate,not_hate,not_hate
59,not_hate,not_hate,not_hate,not_hate
60,hate,hate,hate,hate
61,not_hate,not_hate,not_hate,not_hate
62,not_hate,not_hate,not_hate,not_hate
63,not_hate,not_hate,not_hate,hate
64,not_hate,not_hate,not_hate,not_hate
65,hate,hate,hate,hate
66,not_hate,not_hate,not_hate,not_hate
67,not_hate,not_hate,not_hate,not_hate
68,not_hate,not_hate,not_hate,hate
69,not_hate,not_hate,not_hate,not_hate
70,hate,hate,hate,hate
71,hate,hate,hate,hate
72,hate,hate,hate,hate
73,hate,hate,hate,hate
74,not_hate,not_hate,not_hate,not_hate
75,hate,hate,hate,hate
76,hate,hate,hate,hate
77,not_hate,not_hate,not_hate,not_hate
78,not_hate,not_hate,not_hate,hate
79,not_hate,not_hate,not_hate,not_hate
80,not_hate,not_hate,not_hate,not_hate
81,hate,hate,hate,hate
82,hate,hate,hate,not_hate
83,hate,hate,hate,hate
84,hate,hate,hate,hate
85,not_hate,not_hate,not_hate,not_hate
86,hate,hate,hate,hate
87,hate,hate,hate,hate
