,original_text_prediction,mcad_prediction,chatgpt_prediction,flan_prediction
0,not_hate,not_hate,not_hate,not_hate
1,hate,hate,hate,not_hate
2,hate,hate,hate,not_hate
3,not_hate,not_hate,not_hate,not_hate
4,not_hate,not_hate,not_hate,not_hate
5,not_hate,not_hate,not_hate,not_hate
6,not_hate,not_hate,not_hate,not_hate
7,not_hate,not_hate,not_hate,not_hate
8,not_hate,not_hate,not_hate,not_hate
9,not_hate,not_hate,not_hate,hate
10,not_hate,not_hate,not_hate,not_hate
11,not_hate,not_hate,not_hate,not_hate
12,hate,hate,hate,not_hate
13,not_hate,not_hate,not_hate,not_hate
14,not_hate,not_hate,not_hate,not_hate
15,not_hate,not_hate,not_hate,not_hate
16,not_hate,not_hate,not_hate,not_hate
17,hate,hate,hate,not_hate
18,not_hate,not_hate,not_hate,not_hate
19,not_hate,not_hate,not_hate,not_hate
20,not_hate,not_hate,not_hate,not_hate
21,not_hate,not_hate,not_hate,not_hate
22,not_hate,not_hate,not_hate,not_hate
23,not_hate,not_hate,not_hate,not_hate
24,not_hate,not_hate,not_hate,not_hate
25,not_hate,not_hate,not_hate,not_hate
26,not_hate,not_hate,not_hate,not_hate
27,hate,hate,hate,hate
28,not_hate,not_hate,not_hate,not_hate
29,hate,hate,hate,not_hate
30,not_hate,not_hate,not_hate,not_hate
31,not_hate,not_hate,not_hate,not_hate
32,not_hate,not_hate,not_hate,not_hate
33,not_hate,not_hate,not_hate,not_hate
34,hate,hate,hate,hate
35,not_hate,not_hate,not_hate,not_hate
36,not_hate,not_hate,not_hate,not_hate
37,not_hate,not_hate,not_hate,not_hate
38,not_hate,not_hate,not_hate,not_hate
39,not_hate,not_hate,not_hate,not_hate
40,hate,hate,hate,not_hate
41,hate,hate,hate,not_hate
42,not_hate,not_hate,not_hate,not_hate
43,not_hate,not_hate,not_hate,not_hate
44,not_hate,not_hate,not_hate,not_hate
45,not_hate,not_hate,not_hate,not_hate
46,not_hate,not_hate,not_hate,not_hate
47,hate,hate,hate,not_hate
48,not_hate,not_hate,not_hate,not_hate
49,not_hate,not_hate,not_hate,not_hate
50,not_hate,not_hate,not_hate,not_hate
51,hate,hate,hate,not_hate
52,hate,hate,hate,hate
53,not_hate,not_hate,not_hate,not_hate
54,hate,hate,hate,hate
55,not_hate,not_hate,not_hate,not_hate
56,not_hate,not_hate,not_hate,not_hate
57,hate,hate,hate,hate
58,not_hate,not_hate,not_hate,not_hate
59,not_hate,not_hate,not_hate,not_hate
60,not_hate,not_hate,not_hate,not_hate
61,not_hate,not_hate,not_hate,not_hate
62,not_hate,not_hate,not_hate,not_hate
63,not_hate,not_hate,not_hate,not_hate
64,not_hate,not_hate,not_hate,not_hate
65,not_hate,not_hate,not_hate,not_hate
66,not_hate,not_hate,not_hate,not_hate
67,not_hate,not_hate,not_hate,not_hate
68,hate,hate,hate,hate
69,not_hate,not_hate,not_hate,not_hate
70,not_hate,not_hate,not_hate,not_hate
71,not_hate,not_hate,not_hate,not_hate
72,not_hate,not_hate,not_hate,not_hate
73,not_hate,not_hate,not_hate,not_hate
74,not_hate,not_hate,not_hate,not_hate
75,not_hate,not_hate,not_hate,not_hate
76,hate,hate,hate,not_hate
77,hate,hate,hate,not_hate
78,not_hate,not_hate,not_hate,not_hate
79,not_hate,not_hate,not_hate,not_hate
80,not_hate,not_hate,not_hate,not_hate
81,not_hate,not_hate,not_hate,not_hate
82,not_hate,not_hate,not_hate,not_hate
83,hate,hate,hate,hate
84,hate,hate,hate,hate
85,not_hate,not_hate,not_hate,not_hate
86,hate,hate,hate,not_hate
87,not_hate,not_hate,not_hate,not_hate
88,not_hate,not_hate,not_hate,not_hate
89,not_hate,not_hate,not_hate,not_hate
90,not_hate,not_hate,not_hate,not_hate
91,not_hate,not_hate,not_hate,not_hate
92,not_hate,not_hate,not_hate,not_hate
93,hate,hate,hate,not_hate
94,hate,hate,hate,hate
95,hate,hate,hate,hate
96,not_hate,not_hate,not_hate,not_hate
97,not_hate,not_hate,not_hate,not_hate
98,not_hate,not_hate,not_hate,not_hate
99,hate,hate,hate,hate
100,not_hate,not_hate,not_hate,not_hate
101,not_hate,not_hate,not_hate,not_hate
102,not_hate,not_hate,not_hate,not_hate
103,not_hate,not_hate,not_hate,not_hate
104,hate,hate,hate,hate
105,hate,hate,hate,hate
106,not_hate,not_hate,not_hate,not_hate
107,not_hate,not_hate,not_hate,not_hate
108,hate,hate,hate,hate
109,not_hate,not_hate,not_hate,not_hate
110,hate,hate,hate,hate
111,hate,hate,hate,hate
112,not_hate,not_hate,not_hate,not_hate
113,hate,hate,hate,hate
114,not_hate,not_hate,not_hate,not_hate
115,not_hate,not_hate,not_hate,not_hate
116,not_hate,not_hate,not_hate,not_hate
117,not_hate,not_hate,not_hate,not_hate
118,not_hate,not_hate,not_hate,not_hate
119,not_hate,not_hate,not_hate,not_hate
120,not_hate,not_hate,not_hate,not_hate
121,not_hate,not_hate,not_hate,not_hate
122,not_hate,not_hate,not_hate,not_hate
123,not_hate,not_hate,not_hate,not_hate
124,hate,hate,hate,hate
125,not_hate,not_hate,not_hate,not_hate
126,not_hate,not_hate,not_hate,not_hate
127,not_hate,not_hate,not_hate,not_hate
128,hate,hate,hate,not_hate
129,hate,hate,hate,hate
130,hate,hate,hate,hate
131,not_hate,not_hate,not_hate,not_hate
132,not_hate,not_hate,not_hate,not_hate
133,not_hate,not_hate,not_hate,not_hate
134,not_hate,not_hate,not_hate,not_hate
135,hate,hate,hate,not_hate
136,not_hate,not_hate,not_hate,not_hate
137,not_hate,not_hate,not_hate,not_hate
138,hate,hate,hate,hate
139,not_hate,not_hate,not_hate,not_hate
140,not_hate,not_hate,not_hate,not_hate
141,not_hate,not_hate,not_hate,not_hate
142,not_hate,not_hate,not_hate,not_hate
143,hate,hate,hate,hate
144,not_hate,not_hate,not_hate,not_hate
145,not_hate,not_hate,not_hate,not_hate
146,not_hate,not_hate,not_hate,not_hate
147,not_hate,not_hate,not_hate,not_hate
148,not_hate,not_hate,not_hate,not_hate
149,not_hate,not_hate,not_hate,not_hate
150,hate,hate,hate,hate
151,hate,hate,hate,hate
152,not_hate,not_hate,not_hate,not_hate
153,not_hate,not_hate,not_hate,not_hate
154,not_hate,not_hate,not_hate,not_hate
155,not_hate,not_hate,not_hate,not_hate
156,not_hate,not_hate,not_hate,not_hate
157,not_hate,not_hate,not_hate,not_hate
158,not_hate,not_hate,not_hate,not_hate
159,not_hate,not_hate,not_hate,not_hate
160,not_hate,not_hate,not_hate,not_hate
161,not_hate,not_hate,not_hate,not_hate
162,not_hate,not_hate,not_hate,hate
163,hate,hate,hate,hate
164,not_hate,not_hate,not_hate,not_hate
165,hate,hate,hate,hate
166,not_hate,not_hate,not_hate,not_hate
167,not_hate,not_hate,not_hate,not_hate
168,hate,hate,hate,hate
169,not_hate,not_hate,not_hate,not_hate
170,not_hate,not_hate,not_hate,not_hate
171,not_hate,not_hate,not_hate,not_hate
172,not_hate,not_hate,not_hate,not_hate
173,not_hate,not_hate,not_hate,not_hate
174,hate,hate,hate,hate
175,not_hate,not_hate,not_hate,hate
176,not_hate,not_hate,not_hate,not_hate
177,not_hate,not_hate,not_hate,not_hate
178,not_hate,not_hate,not_hate,not_hate
179,not_hate,not_hate,not_hate,not_hate
180,not_hate,not_hate,not_hate,not_hate
181,not_hate,not_hate,not_hate,not_hate
182,not_hate,not_hate,not_hate,not_hate
183,not_hate,not_hate,not_hate,not_hate
184,not_hate,not_hate,not_hate,not_hate
185,not_hate,not_hate,not_hate,not_hate
186,not_hate,not_hate,not_hate,not_hate
187,not_hate,not_hate,not_hate,not_hate
188,not_hate,not_hate,not_hate,not_hate
189,not_hate,not_hate,not_hate,not_hate
190,not_hate,not_hate,not_hate,not_hate
191,not_hate,not_hate,not_hate,not_hate
192,not_hate,not_hate,not_hate,not_hate
