,id,text,og_svm,mcad_svm,chatgpt_svm,flan_svm
0,2627,Are you an educator looking for ways to help immigrant youth? Here are 4 things you can start doing this week to provide support. Please share and help another teacher stay informed!   To learn more go to #InformedImmigrant https://t.co/dqszTCGctr,0,0,0,0
1,34354,"#Germany: Doctor Stabbed to Death in His Own Surgery by #Somali Asylum Seeker #Migrant, His 10-Year-Old Daughter Forced to Watch#Aliens #IllegalImmigrants #IllegalImmigration #Muslims #BanSharia #AngelaMerkel",1,1,1,1
2,4515,"Merkel, Lavrov discuss return of Syrian refugees. Watch for it, if Syrians return home, the international Left will find another bunch of refugees that MUST be placed in your US town! https://t.co/FhDwFV2SOE",0,1,0,0
3,2820,"Each week, a new refugee chef... and a new menu! ðŸ_x008d_´ https://t.co/YJnRtz3CMG",1,1,0,1
4,32142,"@RealJamesWoods Calling them #IllegalAliens is heartless. Therfore, I won't call them #IllegalAliens.",1,1,1,1
5,6508,Thank you to the @DunhamFund and Dick Ebeling for their support in continuing to inspire students and promote #STEM renovation projects! https://t.co/mq8xWiAc5x,1,0,0,0
6,6530,Like I'm so glad you guys are standing with skales against that boy with the gutter mouth and pot hole face .,0,0,0,0
7,7545,Blocking people is my cardio,1,1,1,1
8,31652,"#AmericaFirst #Trump2020 #BuildTheWall #RaiseAct #EndDACA #MAGA #Veterans #BlueLivesMatter If you don't agree, I DON""T CARE!",0,1,0,0
9,1257,Immigration policies around the world need to be redone.... https://t.co/U06wEsujPC,0,1,0,0
10,2161,"In fact, the study found that a 1 percent increase in the immigrant share of the labor force, in turn, decreases U.S.-born unemployment by 0.062 percentage points and increases U.S.-born labor force participation by 0.045 percentage points.... https://t.co/0ZrY6wXEts",0,1,0,0
11,7290,I only nap so that the time between not drinking and drinking again comes faster,1,1,1,1
12,33637,you say you breaking bitch? where ya hoe at?,1,1,1,1
13,6979,@JagoSarbahaara @autumnrainwish you forgot Ram mandir,1,1,1,1
